Bytes,ActualSize - range,ActualSize - static range,Gallatin - range,Gallatin - static range,RegEff-A - range,RegEff-A - static range,RegEff-CFM - range,RegEff-CFM - static range,Ouroboros-C-S - range,Ouroboros-C-S - static range,RegEff-AW - range,RegEff-AW - static range,RegEff-CM - range,RegEff-CM - static range,Ouroboros-P-VA - range,Ouroboros-P-VA - static range,RegEff-C - range,RegEff-C - static range,Ouroboros-P-VL - range,Ouroboros-P-VL - static range,CUDA - range,CUDA - static range,RegEff-CF - range,RegEff-CF - static range,Ouroboros-C-VL - range,Ouroboros-C-VL - static range,Ouroboros-P-S - range,Ouroboros-P-S - static range
4,4000000,4000000,268697568,421658592,31999968,1599999968,2132869120,2147483552,32505952,32506080,31999968,1599999968,3150733312,3170893824,32589280,32589280,1928421376,2521673760,32672480,32672480,8588623664,8589899568,1801027584,2147476288,32522592,32522720,32499936,32506080
8,8000000,8000000,268755936,386924512,31999968,1599999968,2133336064,2147483552,32505632,32506080,31999968,1599999968,3150364672,3170893824,32589280,32589280,1897996288,2561976832,32672480,32672480,8589313584,8589899568,1845739520,2147479520,32522368,32522720,32499936,32506080
16,16000000,16000000,269758432,386269152,31999968,1599999968,2133544960,2147483552,32506048,32506080,31999968,1599999968,3151134720,3170893824,32589280,32589280,1993539584,2515894784,32672480,32672480,8589848880,8589850928,1661337632,2147479520,32522720,32522720,32499936,32506080
32,32000000,32000000,269353728,386793440,34004576,1700061280,2131984384,2147483520,36574464,36649440,34004560,1700061280,3151339568,3170893824,36699360,40543168,1879269376,3221225760,36831200,40809440,8588674352,8589899568,1755824128,2147479504,36599456,36790880,36573280,36649440
64,64000000,64000000,285474752,385875904,50013760,2500086368,2132967424,2145394304,58264000,58422848,50013776,2500086368,3150839856,3170893904,58364608,62474720,1882972160,3221234752,58607488,62582880,8588625712,8589855280,1826488416,2147479472,58305152,58739008,58258048,58422848
128,128000000,128000000,329777152,486539200,82026784,4100232320,2132606976,2143355136,101611904,101928160,82026800,4100232352,3150733312,3170894256,101719040,106021504,1763213312,3221242624,102035200,106021600,8589848800,8589899568,0,0,101686784,102269184,101610880,101928160
256,256000000,256000000,407897600,553647872,146053680,4294967072,2132598784,2147319296,188378880,188863616,146053664,4294967248,3150159872,3170897904,188491648,192874048,1760215040,3221278928,188857728,193181888,0,0,0,0,188501888,189329536,188375168,188863616
512,512000000,512000000,575669504,754974208,274096992,4294967184,0,0,361736576,362710208,274097152,4294967216,3150381488,3170911680,361855488,366662016,0,0,362279808,367102976,0,0,0,0,0,0,361730688,362710208
1024,1024000000,1024000000,914365440,1073740800,530201712,4294967216,0,0,708453632,710486144,530201568,4294967216,3152781312,3172340608,708581120,714387328,0,0,709038720,714936448,0,0,0,0,0,0,708448000,710486144
2048,2048000000,2048000000,1560311808,1761605632,1042421168,4294967232,0,0,1401934464,1405763456,1042421056,4294967280,0,0,1402075904,1409663744,0,0,1402558464,1410271104,0,0,0,0,1402225664,1406870016,1401934464,1405763456
4096,4096000000,4096000000,2902568960,3103780864,2066857280,4294967280,0,0,2788601856,2795969280,2066855904,4294967072,0,0,2788751616,2800045440,0,0,2789234176,2800528640,0,0,0,0,0,0,2788601856,2795969280
