Approach,BaseLine,XMalloc,Ouroboros-C-VA,RegEff-CF,Ouroboros-P-VL,ScatterAlloc,BaseLine,Ouroboros-P-VA,Ouroboros-C-VL,CUDA,RegEff-CFM,RegEff-CM,Ouroboros-C-S,RegEff-AW,Gallatin,Ouroboros-P-S,RegEff-C
4,100.0,0.0,24.627421758569294,10.618479880774965,24.608792846497764,0.0,0.0,24.608792846497764,24.627421758569294,2.142324888226528,10.767511177347243,10.339046199701937,24.2548435171386,100.0,22.019374068554395,24.47839046199702,10.320417287630402
8,100.0,0.0,49.2548435171386,21.199701937406857,49.2548435171386,0.0,0.0,49.21758569299553,49.2548435171386,4.284649776453056,21.497764530551414,20.715350223546945,48.5096870342772,100.0,44.03874813710879,48.95678092399404,20.678092399403877
16,100.0,0.0,98.5096870342772,21.535022354694487,98.43517138599104,0.0,0.0,98.43517138599104,98.5096870342772,8.569299552906111,25.70789865871833,21.162444113263785,97.0193740685544,100.0,88.07749627421758,97.91356184798808,20.268256333830102
32,100.0,0.0,98.5096870342772,25.78241430700447,98.5096870342772,0.0,0.0,98.36065573770492,98.5096870342772,17.138599105812222,33.383010432190765,27.719821162444116,95.5290611028316,100.0,87.48137108792847,96.42324888226528,25.037257824143072
64,100.0,0.0,45.37313432835821,30.74626865671642,98.50746268656717,0.0,0.0,98.50746268656717,98.50746268656717,34.32835820895522,41.492537313432834,34.32835820895522,94.02985074626866,100.0,87.46268656716418,95.22388059701493,30.74626865671642
128,100.0,0.0,22.15568862275449,34.13173652694611,98.80239520958084,100.0,0.0,98.80239520958084,98.80239520958084,41.91616766467065,44.91017964071856,38.32335329341318,92.21556886227546,100.0,87.42514970059881,94.01197604790418,35.32934131736527
256,100.0,3.614457831325301,98.79518072289156,37.34939759036144,98.79518072289156,100.0,0.0,98.79518072289156,98.79518072289156,45.78313253012048,43.373493975903614,39.75903614457831,91.56626506024097,100.0,87.95180722891565,92.7710843373494,36.14457831325301
512,100.0,9.75609756097561,4.878048780487805,41.46341463414634,100.0,100.0,0.0,100.0,100.0,46.34146341463415,39.02439024390244,39.02439024390244,90.2439024390244,100.0,87.8048780487805,90.2439024390244,36.58536585365854
1024,100.0,0.0,25.0,40.0,100.0,100.0,0.0,100.0,100.0,30.0,35.0,35.0,90.0,100.0,90.0,90.0,35.0
2048,100.0,0.0,100.0,40.0,100.0,100.0,0.0,100.0,100.0,90.0,30.0,30.0,90.0,100.0,90.0,90.0,30.0
4096,100.0,0.0,100.0,40.0,100.0,80.0,0.0,100.0,100.0,80.0,20.0,20.0,80.0,100.0,80.0,80.0,20.0
8192,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0
