Bytes,Ouroboros-C-VA,Ouroboros-P-S,RegEff-CFM,ScatterAlloc,Ouroboros-C-S,Ouroboros-C-VL,FDGMalloc,RegEff-CF,Ouroboros-P-VA,CUDA,RegEff-C,Gallatin,RegEff-CM,Ouroboros-P-VL,RegEff-AW
16,48.6094,15.0513,15.0979,0.0,48.5322,42.047,0.0,394.712,16.2485,452.524,453.199,0.131072,11.6132,103.846,0.04096
32,55.068,45.8004,15.1726,0.0,54.9031,44.851,0.0,423.75,45.2635,450.558,438.099,0.145408,11.6808,106.471,0.04096
64,82.2724,60.1961,15.743,0.0,79.9386,63.5459,0.0,434.601,71.6061,451.115,415.76,0.241664,11.6224,118.926,0.041984
128,110.476,88.189,16.9667,4.98381,99.6572,84.8202,0.0,463.069,109.753,1611.88,394.031,0.468992,10.7725,140.612,0.04096
256,144.787,112.685,21.59,9.49453,126.992,111.546,0.0,470.734,113.048,0.0,377.894,0.894976,11.3388,163.793,0.041984
512,0.0,210.773,207.389,30.3411,160.428,200.498,0.0,470.636,221.182,0.0,403.296,1.62509,14.0831,274.613,0.04096
1024,0.0,352.5,0.0,96.852,426.917,266.098,0.0,1654.38,373.287,0.0,428.774,1.7367,0.0,415.932,0.038912
2048,0.0,631.504,0.0,0.0,1098.92,482.111,0.0,0.0,700.543,449.421,0.0,2.13709,0.0,732.834,0.033792
4096,0.0,1207.17,0.0,0.0,0.0,1637.83,0.0,0.0,1324.63,1614.11,0.0,3.22458,0.0,1325.13,0.03376
