Threads,ScatterAlloc,CUDA,RegEff-C,Ouroboros-C-S,RegEff-CM,Gallatin,XMalloc,RegEff-AW,RegEff-CF,Ouroboros-P-VA,Ouroboros-P-S,RegEff-CFM,Baseline,Ouroboros-C-VL,Ouroboros-P-VL,Ouroboros-C-VA
1,0.00849984,0.241494,0.0101197,0.028087,0.00989504,0.0108902,0.0599341,0.00759744,0.00891456,0.0207162,0.0256122,0.00895168,0.0484269,0.0212147,0.0263296,0.0286522
2,0.0108506,0.247354,0.0092576,0.0219424,0.00773568,0.0115629,0.0544634,0.00586368,0.0100557,0.0279897,0.0182835,0.00817664,0.0481491,0.0224627,0.0262585,0.0305235
4,0.0112026,0.255455,0.0115334,0.0308461,0.0117491,0.0114714,0.0606797,0.0100269,0.011657,0.0288441,0.0189843,0.0120864,0.0478035,0.0245715,0.0270278,0.0336531
8,0.00960128,0.266665,0.0158778,0.0336384,0.0147475,0.011744,0.0607124,0.010057,0.0133952,0.0305094,0.0196333,0.0163891,0.0486707,0.0280519,0.0277069,0.037561
16,0.012297,0.301041,0.0241722,0.0386976,0.022992,0.0122464,0.0637614,0.00819712,0.0207488,0.0332518,0.0212378,0.0236045,0.0484582,0.0341798,0.0293645,0.0442822
32,0.0112896,0.382461,0.0416998,0.0497747,1.4295,0.0131341,0.07363,0.0083264,0.0362035,0.0344064,0.0213798,2.25463,0.0535827,0.0554707,0.0291859,0.0580775
64,0.0143027,0.461084,0.0549337,0.0611559,4.22342,0.0133658,0.0707449,0.010144,0.0475629,0.035072,0.0217798,4.08103,0.0344595,0.0695276,0.0303014,0.0733395
128,0.0124858,0.622148,0.0941338,0.0791226,8.41805,0.0134669,0.0873229,0.0057472,0.0684282,0.0339968,0.0287846,12.729,0.0519405,0.0820903,0.0293286,0.0980377
256,0.0136448,0.946479,0.169953,0.110812,16.8372,0.0146682,0.0971348,0.00862464,0.137815,0.0340077,0.028791,26.3809,0.0346234,0.130851,0.0314509,0.144972
512,0.0167066,1.60435,0.312955,0.163786,27.8622,0.0141395,0.142829,0.00873536,0.237584,0.0341549,0.0298579,38.6056,0.0524819,0.193794,0.0328134,0.227882
1024,0.0170086,2.90847,89.1649,0.258643,35.7776,0.0151264,0.200804,0.00817344,0.669749,0.0346042,0.0237043,47.424,0.136888,0.323841,0.0339802,0.383853
2048,0.0245664,5.90407,1.22669,0.453437,45.537,0.0209165,0.364781,0.00578432,0.628539,0.0405478,0.0358515,60.3468,0.169072,0.597636,0.033961,0.696493
4096, , 11.6453, 2.74348, 0.845687, 58.8515, 0.0291066, 0.997867, 0.0057504, 1.24455, 0.0491513, 0.0366502, 91.5994, 0.197648, 1.11465, 0.0513619, 1.30408
8192, , 23.6078, 4.87179, 1.64611, 57.8263, 0.0408832, 2.3229, 0.00748544, 2.77619, 0.0648902, 0.0525888, 99.9172, 0.265544, 2.18186, 0.0687398, 2.51918
16384, , 48.2313, 93.5149, 3.34382, 64.7398, 0.0507904, 7.37991, 0.00577536, 7.43879, 0.100865, 0.088215, 96.8722, 0.438374, 4.3627, 0.105249, 5.03231
32768, 0.200301, 99.4448, 190.379, 7.4727, 67.5975, 0.0819622, 19.2538, 0.0130438, 29.3659, 0.170214, 0.180769, 175.393, 0.798594, 9.5809, 0.203698, 
65536, 0.435814, 206.799, 341.723, 17.8937, 68.6982, 0.134061, , 0.0128525, 157.029, 0.355712, 0.41753, 451.951, 1.43951, 22.6233, 0.462347, 25.1194
131072, , 507.537, 1181.96, 56.0116, 65.5454, 0.251571, , 0.0133894, 481.226, 0.756513, 1.12898, 0, 2.84765, 60.1484, 1.24503, 70.7999
262144, , 1353.8, 0, 153.884, 962.232, 0.472888, , 0.0181178, 0, 2.33581, 2.65722, 0, 5.54403, 138.203, 3.14551, 171.943
524288, , 0, 0, 352.773, 0, 0.936587, , 0.0277043, 0, 5.41164, 5.59467, 0, 9.43989, 0, 7.24688, 377.215
1048576, , 0, 0, 752.827, 0, 1.84603, , 0.0437094, 0, 11.2303, 11.3954, 0, 11.931, 0, 15.3964, 
