Threads,CUDA,RegEff-CM,Ouroboros-C-VL,RegEff-AW,RegEff-C,Ouroboros-P-VA,ScatterAlloc,Ouroboros-P-VL,Gallatin,RegEff-CFM,Ouroboros-C-VA,Baseline,XMalloc,RegEff-CF,Ouroboros-P-S,Ouroboros-C-S
1,0.329683,0.33097,0.196147,0.286285,0.194541,0.335904,0.336493,0.310886,0.323994,0.331981,0.195994,0.290406,0.198182,0.342445,0.333638,0.323379
2,0.326451,0.29143,0.20009,0.332595,0.195379,0.349357,0.198042,0.198848,0.290816,0.195789,0.329094,0.288768,0.19721,0.200704,0.331776,0.325491
4,0.30761,0.285901,0.331373,0.278528,0.377062,0.328294,0.198458,0.265395,0.331981,0.198451,0.198246,0.335053,0.199475,0.333818,0.257638,0.289792
8, 0.302458, 0.198861, 0.197837, 0.331181, 0.26416, 0.320723, 0.20089, 0.329318, 0.326886, 0.33609, 0.324858, 0.249459, , 0.33897, 0.277459, 0.198662
16, 0.269107, 0.318464, 0.295091, 0.323616, 0.318016, 0.284672, 0.320896, 0.32423, 0.197786, 0.32688, 0.300032, 0.243053, , 0.324435, 0.20009, 0.199904
32, 0.201114, 0.22016, 0.272781, 0.203187, 0.204333, 0.269504, , 0.299008, 0.202534, 0.281357, 0.259686, 0.230157, , 0.283648, 0.290611, 0.276275
64, 0.20969, 0.209018, 0.208486, 0.208486, 0.206234, 0.228966, , 0.243302, 0.206406, 0.231219, 0.206643, 0.210554, , 0.228762, 0.210381, 0.22569
128, 0.227328, 0.226752, 0.225894, 0.237005, 0.226509, 0.227501, , 0.227328, 0.229376, 0.22759, 0.222784, 0.227942, , 0.224256, 0.224262, 0.228147
256, 0.274842, 0.269517, 0.268326, 0.271546, 0.269722, 0.272794, , 0.273395, 0.268493, 0.26727, 0.269926, 0.273165, , 0.268083, 0.269517, 0.273613
512, 0.344269, 0.339181, 0.341606, 0.341811, 0.342426, 0.344275, , 0.343238, 0.34304, 0.341798, 0.345088, 0.339354, , 0.340992, 0.342426, 0.342477
1024, 0.800154, 0.73769, 0.714957, 0.61952, 0.781312, 0.754074, , 0.71271, 0.758784, 0.749568, 0.703283, 0.685274, , 0.746496, 0.707597, 0.702835
2048, 2.43692, 2.47318, 2.38614, 2.26939, 2.45903, 2.3806, , 2.38879, 2.38592, 2.45084, 2.38733, 2.24789, , 2.42893, 2.39104, 2.39139
4096, 4.88143, 4.92749, 4.85151, 4.79313, 4.86932, 4.84925, , 4.85825, 4.83123, 4.88957, 4.85499, 4.66924, , 4.87424, 4.84004, 4.85642
8192, 9.51194, 9.60819, 9.47876, 9.33192, 9.59235, 9.46934, , 9.46998, 9.43534, 9.52402, 9.48862, 9.01837, , 9.63871, 9.46897, 9.47179
16384, 18.7093, 18.8993, 18.6526, 18.4105, 18.9417, 18.6374, , 18.6403, 18.5373, 18.687, 18.6503, 17.6656, , 18.8686, 18.6397, 18.6288
32768, 37.1939, 37.3637, 37.0752, 36.6387, 37.7076, 37.0737, , 37.0465, 36.8617, 37.2449, 37.0672, 35.0626, , 37.5878, 37.0481, 37.1036
65536, 73.9349, 74.2058, 73.7851, 72.8955, 75.1337, 73.692, , 73.7292, 73.2928, 74.3653, 73.8412, 69.879, , 74.7051, 73.7239, 73.8306
131072, 147.442, 148.395, 147.028, 145.336, 150.101, 146.902, , 146.931, 146.017, 148.514, , 139.09, , 148.678, 146.878, 147.007
262144, 293.863, 295.196, 293.138, 289.675, 296.712, 292.889, , 292.482, 291.053, 296.637, 293.294, 278.574, , 296.565, 292.713, 293.407
524288, 587.313, 589.876, 0, 578.739, 590.745, 584.614, , 584.031, 581.486, 0, 586.038, 556.315, , 0, 584.596, 586.222
1048576, 1173.75, 0, 0, 1156.74, 0, 1168.36, , 1166.83, 1161.69, 0, , 1112.55, , 0, 1167.98, 1171.61
